project,language,article,access,agent,granularity,date,views
wikipedia,en,Arctic_wolf,desktop,user,daily,11/02/2017,169
wikipedia,en,Arctic_wolf,desktop,user,daily,12/02/2017,210
wikipedia,en,Arctic_wolf,desktop,user,daily,13/02/2017,420
wikipedia,en,Arctic_wolf,desktop,user,daily,14/02/2017,387
wikipedia,en,Arctic_wolf,desktop,user,daily,15/02/2017,435
wikipedia,en,Arctic_wolf,desktop,user,daily,16/02/2017,503
wikipedia,en,Arctic_wolf,desktop,user,daily,17/02/2017,365
wikipedia,en,Arctic_wolf,desktop,user,daily,18/02/2017,167
wikipedia,en,Arctic_wolf,desktop,user,daily,19/02/2017,229
wikipedia,en,Arctic_wolf,desktop,user,daily,20/02/2017,294
wikipedia,en,Arctic_wolf,desktop,user,daily,21/02/2017,389
wikipedia,en,Arctic_wolf,desktop,user,daily,22/02/2017,457
wikipedia,en,Arctic_wolf,desktop,user,daily,23/02/2017,497
wikipedia,en,Arctic_wolf,desktop,user,daily,24/02/2017,322
wikipedia,en,Arctic_wolf,desktop,user,daily,25/02/2017,143
wikipedia,en,Arctic_wolf,desktop,user,daily,26/02/2017,199
wikipedia,en,Arctic_wolf,desktop,user,daily,27/02/2017,437
wikipedia,en,Arctic_wolf,desktop,user,daily,28/02/2017,470
wikipedia,en,Arctic_wolf,desktop,user,daily,01/03/2017,455
wikipedia,en,Arctic_wolf,desktop,user,daily,02/03/2017,463
wikipedia,en,Arctic_wolf,desktop,user,daily,03/03/2017,487
wikipedia,en,Arctic_wolf,desktop,user,daily,04/03/2017,171
wikipedia,en,Arctic_wolf,desktop,user,daily,05/03/2017,235
wikipedia,en,Arctic_wolf,desktop,user,daily,06/03/2017,473
wikipedia,en,Arctic_wolf,desktop,user,daily,07/03/2017,472
wikipedia,en,Arctic_wolf,desktop,user,daily,08/03/2017,496
wikipedia,en,Arctic_wolf,desktop,user,daily,09/03/2017,461
wikipedia,en,Arctic_wolf,desktop,user,daily,10/03/2017,398
wikipedia,en,Arctic_wolf,desktop,user,daily,11/03/2017,179
wikipedia,en,Arctic_wolf,desktop,user,daily,12/03/2017,205
wikipedia,en,Arctic_wolf,desktop,user,daily,13/03/2017,386
wikipedia,en,Arctic_wolf,desktop,user,daily,14/03/2017,442
wikipedia,en,Arctic_wolf,desktop,user,daily,15/03/2017,354
wikipedia,en,Arctic_wolf,desktop,user,daily,16/03/2017,338
wikipedia,en,Arctic_wolf,desktop,user,daily,17/03/2017,297
wikipedia,en,Arctic_wolf,desktop,user,daily,18/03/2017,148
wikipedia,en,Arctic_wolf,desktop,user,daily,19/03/2017,209
wikipedia,en,Arctic_wolf,desktop,user,daily,20/03/2017,388
wikipedia,en,Arctic_wolf,desktop,user,daily,21/03/2017,410
wikipedia,en,Arctic_wolf,desktop,user,daily,22/03/2017,462
wikipedia,en,Arctic_wolf,desktop,user,daily,23/03/2017,448
wikipedia,en,Arctic_wolf,desktop,user,daily,24/03/2017,293
wikipedia,en,Arctic_wolf,desktop,user,daily,25/03/2017,156
wikipedia,en,Arctic_wolf,desktop,user,daily,26/03/2017,216
wikipedia,en,Arctic_wolf,desktop,user,daily,27/03/2017,389
wikipedia,en,Arctic_wolf,desktop,user,daily,28/03/2017,415
wikipedia,en,Arctic_wolf,desktop,user,daily,29/03/2017,428
wikipedia,en,Arctic_wolf,desktop,user,daily,30/03/2017,430
wikipedia,en,Arctic_wolf,desktop,user,daily,31/03/2017,368
wikipedia,en,Arctic_wolf,desktop,user,daily,01/04/2017,155
wikipedia,en,Arctic_wolf,desktop,user,daily,02/04/2017,169
wikipedia,en,Arctic_wolf,desktop,user,daily,03/04/2017,382
wikipedia,en,Arctic_wolf,desktop,user,daily,04/04/2017,388
wikipedia,en,Arctic_wolf,desktop,user,daily,05/04/2017,344
wikipedia,en,Arctic_wolf,desktop,user,daily,06/04/2017,450
wikipedia,en,Arctic_wolf,desktop,user,daily,07/04/2017,268
wikipedia,en,Arctic_wolf,desktop,user,daily,08/04/2017,128
wikipedia,en,Arctic_wolf,desktop,user,daily,09/04/2017,186
wikipedia,en,Arctic_wolf,desktop,user,daily,10/04/2017,318
wikipedia,en,Arctic_wolf,desktop,user,daily,11/04/2017,325
wikipedia,en,Arctic_wolf,desktop,user,daily,12/04/2017,334
wikipedia,en,Arctic_wolf,desktop,user,daily,13/04/2017,261
wikipedia,en,Arctic_wolf,desktop,user,daily,14/04/2017,178
wikipedia,en,Arctic_wolf,desktop,user,daily,15/04/2017,155
wikipedia,en,Arctic_wolf,desktop,user,daily,16/04/2017,151
wikipedia,en,Arctic_wolf,desktop,user,daily,17/04/2017,302
wikipedia,en,Arctic_wolf,desktop,user,daily,18/04/2017,360
wikipedia,en,Arctic_wolf,desktop,user,daily,19/04/2017,381
wikipedia,en,Arctic_wolf,desktop,user,daily,20/04/2017,415
wikipedia,en,Arctic_wolf,desktop,user,daily,21/04/2017,364
